text,label
Worked on predictive modeling and data preprocessing.,Data Science
Front-end developer skilled in SASS.,Web Developer
Created user flows for web applications.,UI/UX Design
Worked on time series forecasting and data preprocessing.,Data Science
Built machine learning models using PyTorch.,Data Science
Conducted user research and usability testing.,UI/UX Design
Built machine learning models using scikit-learn.,Data Science
Designed admin panels using Figma.,UI/UX Design
Designed web dashboards using Sketch.,UI/UX Design
Designed mobile apps using Sketch.,UI/UX Design
Experienced in UI prototyping and interaction design.,UI/UX Design
Designed mobile apps using Sketch.,UI/UX Design
Developed RESTful APIs using Flask.,Web Developer
Conducted user research and usability testing.,UI/UX Design
Performed feature engineering using Matplotlib.,Data Science
Experienced in user-centered design and interaction design.,UI/UX Design
Built deep learning models using TensorFlow.,Data Science
Performed EDA using Seaborn.,Data Science
"Experienced in HTML, CSS, JavaScript and building responsive dashboards.",Web Developer
Front-end developer skilled in Next.js.,Web Developer
Designed web dashboards using Figma.,UI/UX Design
Created user flows for web applications.,UI/UX Design
Built deep learning models using scikit-learn.,Data Science
Worked on predictive modeling and data preprocessing.,Data Science
Developed microservice APIs using Express.,Web Developer
Front-end developer skilled in Bootstrap.,Web Developer
Developed RESTful APIs using Node.js.,Web Developer
Front-end developer skilled in SASS.,Web Developer
Developed GraphQL APIs using Express.,Web Developer
Built e-commerce web apps using JavaScript and MongoDB.,Web Developer
Conducted competitive analysis and usability testing.,UI/UX Design
Created user flows for web applications.,UI/UX Design
Developed microservice APIs using Flask.,Web Developer
Created mockups for web applications.,UI/UX Design
Built machine learning models using TensorFlow.,Data Science
Worked on predictive modeling and data preprocessing.,Data Science
Worked on time series forecasting and data preprocessing.,Data Science
Experienced in Vue.js and building responsive landing pages.,Web Developer
Front-end developer skilled in Bootstrap.,Web Developer
Worked on predictive modeling and data preprocessing.,Data Science
Front-end developer skilled in SASS.,Web Developer
Conducted competitive analysis and A/B testing.,UI/UX Design
Worked on predictive modeling and data preprocessing.,Data Science
Worked on predictive modeling and data preprocessing.,Data Science
Developed microservice APIs using Flask.,Web Developer
Worked on predictive modeling and data preprocessing.,Data Science
Created mockups for web applications.,UI/UX Design
Built management system web apps using Python and MongoDB.,Web Developer
Experienced in user-centered design and interaction design.,UI/UX Design
Experienced in Python and performing data analysis.,Data Science
Designed mobile apps using Adobe XD.,UI/UX Design
Experienced in user-centered design and interaction design.,UI/UX Design
Front-end developer skilled in SASS.,Web Developer
Conducted user research and usability testing.,UI/UX Design
Conducted user research and usability testing.,UI/UX Design
Worked on predictive modeling and data preprocessing.,Data Science
Designed admin panels using Sketch.,UI/UX Design
Created mockups for web applications.,UI/UX Design
Experienced in React and building responsive websites.,Web Developer
Built e-commerce web apps using Python and MongoDB.,Web Developer
Front-end developer skilled in Tailwind.,Web Developer
Designed web dashboards using Figma.,UI/UX Design
Experienced in user-centered design and interaction design.,UI/UX Design
Performed data visualization using Pandas.,Data Science
Experienced in Python and performing data analysis.,Data Science
Created wireframes for web applications.,UI/UX Design
Conducted user research and A/B testing.,UI/UX Design
Built management system web apps using PHP and MySQL.,Web Developer
Experienced in user-centered design and interaction design.,UI/UX Design
Developed microservice APIs using Django.,Web Developer
Created mockups for web applications.,UI/UX Design
Experienced in user-centered design and interaction design.,UI/UX Design
Experienced in Python and performing data analysis.,Data Science
Created user flows for web applications.,UI/UX Design
Worked on time series forecasting and data preprocessing.,Data Science
Built e-commerce web apps using Python and MySQL.,Web Developer
Conducted competitive analysis and usability testing.,UI/UX Design
Conducted competitive analysis and A/B testing.,UI/UX Design
Created mockups for web applications.,UI/UX Design
Experienced in UI prototyping and interaction design.,UI/UX Design
Worked on time series forecasting and data preprocessing.,Data Science
Worked on predictive modeling and data preprocessing.,Data Science
Front-end developer skilled in Tailwind.,Web Developer
Experienced in R and performing data analysis.,Data Science
Front-end developer skilled in Bootstrap.,Web Developer
Experienced in user-centered design and interaction design.,UI/UX Design
Performed data visualization using Pandas.,Data Science
Performed feature engineering using Seaborn.,Data Science
Experienced in Angular and building responsive websites.,Web Developer
Created user flows for web applications.,UI/UX Design
Experienced in UI prototyping and interaction design.,UI/UX Design
"Experienced in HTML, CSS, JavaScript and building responsive dashboards.",Web Developer
Built management system web apps using Python and MySQL.,Web Developer
Performed data visualization using Pandas.,Data Science
Experienced in UI prototyping and interaction design.,UI/UX Design
Developed microservice APIs using Node.js.,Web Developer
Created wireframes for web applications.,UI/UX Design
Developed microservice APIs using Django.,Web Developer
Experienced in React and building responsive dashboards.,Web Developer
Created wireframes for web applications.,UI/UX Design
Performed feature engineering using Matplotlib.,Data Science
Built machine learning models using TensorFlow.,Data Science
Built deep learning models using scikit-learn.,Data Science
Created wireframes for web applications.,UI/UX Design
Worked on time series forecasting and data preprocessing.,Data Science
Built e-commerce web apps using Python and MongoDB.,Web Developer
Built news portal web apps using Python and MongoDB.,Web Developer
Built news portal web apps using JavaScript and PostgreSQL.,Web Developer
Experienced in user-centered design and interaction design.,UI/UX Design
Experienced in React and building responsive portfolios.,Web Developer
Created user flows for web applications.,UI/UX Design
Front-end developer skilled in Next.js.,Web Developer
Built machine learning models using scikit-learn.,Data Science
Built machine learning models using scikit-learn.,Data Science
Conducted user research and A/B testing.,UI/UX Design
Performed EDA using Matplotlib.,Data Science
Built e-commerce web apps using JavaScript and MySQL.,Web Developer
Experienced in Vue.js and building responsive websites.,Web Developer
Created user flows for web applications.,UI/UX Design
Developed RESTful APIs using Express.,Web Developer
Designed web dashboards using Figma.,UI/UX Design
Performed feature engineering using Matplotlib.,Data Science
Created mockups for web applications.,UI/UX Design
Front-end developer skilled in SASS.,Web Developer
Experienced in user-centered design and interaction design.,UI/UX Design
Built news portal web apps using Python and MySQL.,Web Developer
"Experienced in HTML, CSS, JavaScript and building responsive dashboards.",Web Developer
Conducted competitive analysis and usability testing.,UI/UX Design
Experienced in R and performing statistical modeling.,Data Science
Built management system web apps using JavaScript and MongoDB.,Web Developer
Experienced in R and performing data analysis.,Data Science
Front-end developer skilled in Next.js.,Web Developer
Experienced in React and building responsive portfolios.,Web Developer
Built deep learning models using PyTorch.,Data Science
Experienced in UI prototyping and interaction design.,UI/UX Design
Experienced in user-centered design and interaction design.,UI/UX Design
Experienced in R and performing data analysis.,Data Science
Front-end developer skilled in Tailwind.,Web Developer
"Experienced in HTML, CSS, JavaScript and building responsive landing pages.",Web Developer
Built e-commerce web apps using PHP and MongoDB.,Web Developer
Built machine learning models using PyTorch.,Data Science
Experienced in Vue.js and building responsive dashboards.,Web Developer
Developed RESTful APIs using Django.,Web Developer
Performed EDA using Seaborn.,Data Science
Experienced in user-centered design and interaction design.,UI/UX Design
Built machine learning models using PyTorch.,Data Science
Designed mobile apps using Adobe XD.,UI/UX Design
Front-end developer skilled in Bootstrap.,Web Developer
Created user flows for web applications.,UI/UX Design
Built machine learning models using scikit-learn.,Data Science
Front-end developer skilled in Next.js.,Web Developer
Experienced in Python and performing statistical modeling.,Data Science
Experienced in UI prototyping and interaction design.,UI/UX Design
Experienced in React and building responsive dashboards.,Web Developer
Performed data visualization using Seaborn.,Data Science
Built deep learning models using TensorFlow.,Data Science
Created wireframes for web applications.,UI/UX Design
Built machine learning models using PyTorch.,Data Science
Performed EDA using Seaborn.,Data Science
Built news portal web apps using PHP and MySQL.,Web Developer
Experienced in R and performing statistical modeling.,Data Science
Created wireframes for web applications.,UI/UX Design
Created wireframes for web applications.,UI/UX Design
Created user flows for web applications.,UI/UX Design
Experienced in React and building responsive landing pages.,Web Developer
Experienced in UI prototyping and interaction design.,UI/UX Design
